name	id	artworks	associated_periods_or_movements	art_forms	art_series
Jerry Ott	/guid/9202a8c04000641f8000000005c4d9a3				
Ty Jones	/guid/9202a8c04000641f8000000007686784			Painting,Drawing,Printmaking,Sculpture,Collage	
Izumi Kazuto	/guid/9202a8c04000641f8000000006b85774				
Guerdy J. Préval	/guid/9202a8c04000641f8000000006f700ff			Painting	
Noel Wood	/guid/9202a8c04000641f80000000076a9c94				
Mike Mandel	/guid/9202a8c04000641f800000000763af5d	Untitled, from the installation Evidence,Untitled, from the installation Evidence,Untitled, from the installation Evidence,Untitled, from the installation Evidence,Untitled, from the installation Evidence,Untitled, from the installation Evidence,Untitled, from the installation Evidence,Untitled, from the installation Evidence,Untitled, from the installation Evidence,Untitled, from the installation Evidence,Untitled, from the installation Evidence,Untitled, from the installation Evidence,Untitled, from the installation Evidence,Evidence,Untitled, from the installation Evidence,Untitled, from the installation Evidence,Untitled, from the installation Evidence			
Gotthard Graubner	/guid/9202a8c04000641f800000000767db90			Painting	
Arthur Tress	/guid/9202a8c04000641f800000000763ad15	Woman Prisoner, Bedford, NY			
José Adriano Buergo Ortiz	/guid/9202a8c04000641f8000000006b3e716			Painting	
Cowan Dobson	/guid/9202a8c04000641f8000000006b5c60b			Painting	
Ralph Stackpole	/guid/9202a8c04000641f800000000763ac4f	Fleishhacker Children,Nude Resting			
Kim Sucheol	/guid/9202a8c04000641f8000000006b5ebe8				
Joseph Janvier Woodward	/guid/9202a8c04000641f800000000763aa91	Portion of a Small Vein. From the Muscular Coat of the Urinary Bladder of ...,Capillary, Showing Epithelium. From the Muscular Coat of the Urinary Bladder...,Stomata in the Epithelium of a Vein, One-Hundredth of an Inch in Diameter...,White Blood Corpuscles, Exhibiting Amoeboid Movements in the External Coat of...,Stomata in the Epithelium of a Vein, One-Thousandth of an Inch in Diameter...,Stomata in the Epithelium of a Vein, One-Fiftieth of an Inch in Diameter...,Veinous Radicles Uniting to Form a Small Vein, from the Muscular Coat of the...,Epidermis of Frog, Showing Stomata Between the Epithelial Cells,Small Artery, Showing Epithelium and Circular Muscular Fibre Cells. From...,Small Artery and Capillaries, Showing Epithelium. From the Muscular Coat of...,Small Artery and Capillaries, Showing Epithelium. From the Muscular Coat of ...			
Mandel Aguirre y Monsalbe	/guid/9202a8c04000641f8000000006b53a14				
Giovanni di Pietro, called Lo Spagna	/guid/9202a8c04000641f8000000007653a09	Saint Catherine of Siena			
Francesco Merano	/guid/9202a8c04000641f8000000005ae4a88			Painting	
Riichard Tuttle	/guid/9202a8c04000641f8000000007653c7f	Tenth Cloth Octagonal			
Barbara Hepworth	/guid/9202a8c04000641f800000000763bc6a	Disks in Echelon,Landscape Sculpture,Two Figures (Menhirs)			
Naum Gabo	/guid/9202a8c04000641f80000000076b8f2a	Head of a Woman			
Biagio d'Antonio	/guid/9202a8c04000641f8000000006bc1db3			Painting	
Bradley Walker Tomlin	/guid/9202a8c04000641f8000000006bed66e	Number 9: In Praise of Gertrude Stein,Number 3,Number 20		Painting	
Tommaso Benedetti	/guid/9202a8c04000641f8000000006be6233				
Filippo Tancredi	/guid/9202a8c04000641f8000000006c02315			Painting	
Ammi Phillips	/guid/9202a8c04000641f8000000007653ae4	Mrs. Reuben Allerton (Lois Atherton),Cornelius Allerton			
Franz Cižek	/guid/9202a8c04000641f8000000006ee8e0c			Painting	
Giulio Calvi	/guid/9202a8c04000641f8000000006bb0c3c			Painting	
Carlo Lasinio	/guid/9202a8c04000641f8000000006af3a1c				
Alexandre Garbell	/guid/9202a8c04000641f800000000763bd30	Abstraction			
Rigo 00	/guid/9202a8c04000641f800000000763aa07	Loro Perdido,Lost Rascal,Reward for Lost Yellow			
Vera Cuningham	/guid/9202a8c04000641f8000000006b3daab			Painting	
Simon Ungers	/guid/9202a8c04000641f800000000763c1aa	Cathedral [Perspective],Museum [Plan and Section],Cathedral,Museum [Isometric],Theatre [Perspective],Library [Plan and Section],Theatre [Isometric],Cathedral [Isometric],Library [Isometric],Library,Theatre [Plan and Section],Library [Perspective],Museum [Perspective],Cathedral [Plan and Section],Theatre,Museum			
William Blundell Spence	/guid/9202a8c04000641f8000000005b4892a				
Paul Sordes	/guid/9202a8c04000641f8000000006bc6717				
Jackie Hatfield	/guid/9202a8c04000641f80000000074c2a86				
Nancy Calef	/guid/9202a8c04000641f8000000005b59c80				
Ivan Tarkhanov	/guid/9202a8c04000641f8000000000d1bd4f			Painting	
Jean-Pierre Canlis	/guid/9202a8c04000641f8000000000eb4c66			Glass	
Michel Bouillon	/guid/9202a8c04000641f8000000000ede237			Painting	
Paul Garrin	/guid/9202a8c04000641f8000000000e00f04				
Jim Manley	/guid/9202a8c04000641f8000000000db762e			Painting	
Pier Francesco Mazzucchelli	/guid/9202a8c04000641f8000000000f3eff4			Painting	
Amelia Curran	/guid/9202a8c04000641f8000000000c78746				
Rista Vukanović	/guid/9202a8c04000641f8000000000e40fa2			Painting	
Zygmunt Ajdukiewicz	/guid/9202a8c04000641f8000000000e9759e				
Anthony Robert Klitz	/guid/9202a8c04000641f8000000000d4e2e5				
William John Leech	/guid/9202a8c04000641f8000000000f32671			Painting	
Franjo Mraz	/guid/9202a8c04000641f8000000000e586b1		Naïve art		
Ivan Nenov	/guid/9202a8c04000641f8000000000c95e6c				
Demetrios Galanis	/guid/9202a8c04000641f8000000000c669ee				
Vangel Kodzoman	/guid/9202a8c04000641f8000000000d24a5a				
John Elliott	/guid/9202a8c04000641f8000000000cda46a				
Richard DeVore	/guid/9202a8c04000641f8000000000d1651c				
Jean-Baptiste Huet	/guid/9202a8c04000641f8000000000ad6099				
Pedro Calapez	/guid/9202a8c04000641f8000000000bba824				
Akio Chiba	/guid/9202a8c04000641f8000000000e816e2				
Juan Bautista de Espinosa	/guid/9202a8c04000641f8000000000e87de0		Baroque		
Franz Wilhelm Seiwert	/guid/9202a8c04000641f8000000000c1fc5a				
Charles Camoin	/guid/9202a8c04000641f8000000000aa2779		Fauvism	Painting	
Douglas Kolk	/guid/9202a8c04000641f8000000000d98e0f				
Ljubomir Belogaski	/guid/9202a8c04000641f8000000000d24a44				
Douris	/guid/9202a8c04000641f8000000000da04a5				
Lesley Dill	/guid/9202a8c04000641f8000000000e06db5			Drawing,Photography,Sculpture,Printmaking	
Peter Newsome	/guid/9202a8c04000641f8000000000b57b92			Glass	
Florence Broadhurst	/guid/9202a8c04000641f8000000000e70fe7				
Emil Lindenfeld	/guid/9202a8c04000641f8000000000b06fe7			Painting	
Ram Kumar	/guid/9202a8c04000641f8000000000c846b3			Painting	
Mowry Baden	/guid/9202a8c04000641f8000000000b43aa3				
Philipp Foltz	/guid/9202a8c04000641f8000000000cd4a10				
Maurice Richard Josey	/guid/9202a8c04000641f8000000000dd214d				
Rino Fujii	/guid/9202a8c04000641f8000000000e69d78				
Justus DaLee	/guid/9202a8c04000641f8000000000becaac		Naïve art		
Andokides Painter	/guid/9202a8c04000641f8000000000ef4860				
John K. Melvin	/guid/9202a8c04000641f8000000000d5d47c		Land art		
Max Dauthendey	/guid/9202a8c04000641f80000000003edd81			Painting	
Olga Volchkova	/guid/9202a8c04000641f80000000007769ea			Painting	
Agostino Tassi	/guid/9202a8c04000641f800000000066d316				
Prokhor	/guid/9202a8c04000641f80000000004bdd74			Painting	
Rosanna Arquette	/guid/9202a8c04000641f80000000001dc4a1				
Nicholas Hilliard	/guid/9202a8c04000641f80000000004f3d72			Painting	
Mary Engelbreit	/guid/9202a8c04000641f800000000080e317				
Otto Lohmüller	/guid/9202a8c04000641f8000000000489653				
Roger Raveel	/guid/9202a8c04000641f8000000000a77a4a				
Edouard Vienot	/guid/9202a8c04000641f8000000000558ec8				
Kenyon Cox	/guid/9202a8c04000641f80000000007bd499			Mural,Painting	
Wilhelm von Kaulbach	/guid/9202a8c04000641f800000000029a23a		Academic art	Painting	
Max Weber	/guid/9202a8c04000641f80000000003896a9		American modernism	Painting	
Lee Greene Richards	/guid/9202a8c04000641f8000000000a3a000				
Ryan Obermeyer	/guid/9202a8c04000641f8000000000a24d2d			Painting	
Fernando de Szyszlo	/guid/9202a8c04000641f8000000000ab558a			Painting	
Mohamed Hamri	/guid/9202a8c04000641f80000000007686b7			Painting	
Alice Prin	/guid/9202a8c04000641f8000000000087e40			Painting	
Werner Peiner	/guid/9202a8c04000641f800000000084b8f1				
Etsuro Sotoo	/guid/9202a8c04000641f80000000008a6655				
Marimo Ragawa	/guid/9202a8c04000641f800000000027a43e				
Cristóbal Rojas	/guid/9202a8c04000641f800000000089681f			Painting	
Juan Soriano	/guid/9202a8c04000641f8000000000a614cd			Painting	
Ferenc Martyn	/guid/9202a8c04000641f80000000004f22d8			Painting	
Breon O'Casey	/guid/9202a8c04000641f80000000006b2e47			Painting	
Terrance Lindall	/guid/9202a8c04000641f80000000003d9a62				
E. J. Gold	/guid/9202a8c04000641f80000000008a99ce			Ceramics,Painting,Sculpture,Printmaking,Drawing	
Agnolo Gaddi	/guid/9202a8c04000641f80000000001dda94			Painting	
Domingos Sequeira	/guid/9202a8c04000641f80000000005e0f7b			Painting	
Tim Tolkien	/guid/9202a8c04000641f80000000009322aa	Sentinel			
Penleigh Boyd	/guid/9202a8c04000641f8000000000852827				
Willem Claeszoon Heda	/guid/9202a8c04000641f800000000036fccb	Still Life with Gilt Goblet,Still Life with Pie, Silver Ewer and Crab	Baroque	Painting	
Robert Williams	/guid/9202a8c04000641f80000000002fc787				
Wojciech Kossak	/guid/9202a8c04000641f80000000004d1973			Painting	
Thomas Girtin	/guid/9202a8c04000641f80000000002cdb35		Romanticism	Painting	
Georges de Feure	/guid/9202a8c04000641f800000000092232d			Painting	
E. H. Windred	/guid/9202a8c04000641f80000000007f605c			Painting	
Paul McCarthy	/guid/9202a8c04000641f800000000063bab8		Contemporary art		
Joann Sfar	/guid/9202a8c04000641f80000000002b889d				
John Dunbar	/guid/9202a8c04000641f8000000000b828e5				
Winold Reiss	/guid/9202a8c04000641f800000000085ddf2			Painting	
Pieter Aertsen	/guid/9202a8c04000641f800000000020ac10	Nebuchadnezzar		Painting	
Hans von Bartels	/guid/9202a8c04000641f800000000012be53			Painting	
Aegidius Sadeler	/guid/9202a8c04000641f800000000059f192		Baroque	Painting	
Joseph Beuys	/guid/9202a8c04000641f8000000000146758	Lightning with Stag in its Glare,Eurasia Siberian Symphony 1963,Iron Chest from Vacuum-Mass\\"	Fluxus,Conceptual art	Performance,Sculpture	
Aleksandra Belcova	/guid/9202a8c04000641f8000000000a5dd0d			Painting	
Noizi Ito	/guid/9202a8c04000641f8000000000997f80				
Rita Angus	/guid/9202a8c04000641f8000000000785ddd			Painting	
Václav Vavřinec Reiner	/guid/9202a8c04000641f8000000000af4b64			Painting	
Lorenzo Lotto	/guid/9202a8c04000641f80000000001ddd18	Christ carrying the cross	High Renaissance	Painting	
Thomas E. Stephens	/guid/9202a8c04000641f80000000007edc07				
Sarah Lucas	/guid/9202a8c04000641f800000000048b12a				
William Rimmer	/guid/9202a8c04000641f80000000007b7265		Romanticism		
Harry Holtzman	/guid/9202a8c04000641f8000000000b859f3				
Helene Schjerfbeck	/guid/9202a8c04000641f80000000003dbdb3			Painting	
Albert Tucker	/guid/9202a8c04000641f800000000062049a		Expressionism	Painting	
Jean-Baptiste Camille Corot	/guid/9202a8c04000641f800000000016507a	The Church of Marissel near Beauvais,Souvenir de Mortefontaine,Souvenir of the Environs of Lake Nemi,The Bridge at Narni,Venise, La Piazetta,Orpheus Leading Eurydice from the Underworld,View of Genoa,Ville d'Avray,View from the Farnese Gardens, Rome,Morning. Dance of the Nymphs,Le concert champêtre,Monte Pincio, Rome,Femme Lisant,Bathing Nymphs and Child,Arleux-Palluel, The Bridge of Trysts,Interrupted Reading	Realism	Painting	
Wojciech Fangor	/guid/9202a8c04000641f80000000009762f1			Sculpture,Painting	
Angel Botello	/guid/9202a8c04000641f80000000006261b1			Painting	
Morgan Russell	/guid/9202a8c04000641f800000000033fe0b	Synchromy No. 3,Synchromy		Painting	
Wen Zhengming	/guid/9202a8c04000641f800000000045451d			Painting	
Bas Jan Ader	/guid/9202a8c04000641f80000000003bc791				
Charles Wish	/guid/9202a8c04000641f80000000009341b1			Painting	
Kathy Change	/guid/9202a8c04000641f80000000006be092				
Amédée Fauré	/guid/9202a8c04000641f800000000875e385				
Pedro Coronel	/guid/9202a8c04000641f80000000087b784f				
Charles Louis de Fredy de Coubertin	/guid/9202a8c04000641f800000000928886d			Painting	
August Weber	/guid/9202a8c04000641f800000000909b5e7				
Casey mckee	/guid/9202a8c04000641f8000000009d70cd3				
Sebastian Bieniek	/guid/9202a8c04000641f8000000008d22646			Painting	
Tom Carr	/guid/9202a8c04000641f800000000940e251				
Dorothy Kate Richmond	/guid/9202a8c04000641f8000000007d0ebbb			Painting	
Robert Anning Bell	/guid/9202a8c04000641f80000000093f45cd				
María Teresa Hincapié	/guid/9202a8c04000641f800000000861e280				
Julie Brook	/guid/9202a8c04000641f800000000926833c		Young British Artists	Painting,Installation art,Sculpture	
Hieronymus Cock	/guid/9202a8c04000641f80000000046ba4e5		Renaissance	Printing,Printmaking,Painting	
Ludovico Buti	/guid/9202a8c04000641f800000000469ac9e			Painting	
Ralph Fasanella	/guid/9202a8c04000641f80000000046dd55c			Painting	
Mayu Shinjo	/guid/9202a8c04000641f8000000004693941				
David Tress	/guid/9202a8c04000641f8000000005b57805				
Antonio Joli	/guid/9202a8c04000641f80000000047e54a5				
Frank Handlen	/guid/9202a8c04000641f800000000468a956				
Joseph Henry Sharp	/guid/9202a8c04000641f8000000004688ec5			Painting	
Norm Magnusson	/guid/9202a8c04000641f800000000560ede7				
Charles Ginner	/guid/9202a8c04000641f800000000467bf83			Painting	
Gabriel Zehender	/guid/9202a8c04000641f800000000467aacc			Painting	
Lisa Remeny	/guid/9202a8c04000641f800000000562a03e				
Anton Schutz	/guid/9202a8c04000641f800000000481cfd5				
Tom Bostelle	/guid/9202a8c04000641f8000000005631171				
Alexander Boghossian	/guid/9202a8c04000641f80000000046f658c			Painting	
Cristóvão Lopes	/guid/9202a8c04000641f80000000047497b7				
Amanda sage	/guid/9202a8c04000641f800000000484997b			Painting	
Felice Giani	/guid/9202a8c04000641f800000000485088b				
Ern Westmore	/guid/9202a8c04000641f80000000046542ac				
Eleanor Fortescue-Brickdale	/guid/9202a8c04000641f80000000056692b6				
Izumi Aso	/guid/9202a8c04000641f800000000460a946				
Leonardo da Pistoia	/guid/9202a8c04000641f80000000056d09e9			Painting	
Giovanni Battista Merano	/guid/9202a8c04000641f8000000005aea142			Painting	
Lisa Crafts	/guid/9202a8c04000641f800000000573c8d2				
Shirley Jaffe	/guid/9202a8c04000641f8000000005a9acff	Untitled,Hop and Skip			
Thomas Campbell	/guid/9202a8c04000641f8000000004763b64				
Deodato Guinaccia	/guid/9202a8c04000641f80000000056835f9			Painting	
Giovanni Battista Lama	/guid/9202a8c04000641f8000000005686ec9			Painting	
Scott Reeder	/guid/9202a8c04000641f800000000463bc56			Painting	
Salomon Koninck	/guid/9202a8c04000641f8000000005c01443		Baroque		
Eleanor Vere Boyle	/guid/9202a8c04000641f8000000009633e92				
Chief Associate of the Bedford Master	/guid/9202a8c04000641f8000000009f07ba9				
Louis Leon Ribak	/guid/9202a8c04000641f8000000007d9d2a5			Painting,Drawing	
Alison Elizabeth Taylor	/guid/9202a8c04000641f80000000087a122f				
Rafail Levitsky	/guid/9202a8c04000641f80000000093ffd05				
Peter Anton	/guid/9202a8c04000641f8000000008d0b231				
Kim Holleman	/guid/9202a8c04000641f8000000009d4e6b1				
Shalom Koboshvili	/guid/9202a8c04000641f8000000008cf37c2				
Jack Cassinetto	/guid/9202a8c04000641f80000000093e68aa			Painting	
George Vicat Cole	/guid/9202a8c04000641f8000000009431899				
Okuda	/guid/9202a8c04000641f8000000009ad76c6		Graffiti	Painting	
Julia Scher	/guid/9202a8c04000641f8000000008bc18c1				
Michael David	/guid/9202a8c04000641f8000000008e888ef				
Frank Bender	/guid/9202a8c04000641f800000000876c85d				
Mitsutoshi Shimabukuro	/guid/9202a8c04000641f8000000008ecee0d				
Sidney Richard Percy	/guid/9202a8c04000641f8000000009091013				
Claggett Wilson	/guid/9202a8c04000641f800000000909ba3e				
Maupérin	/guid/9202a8c04000641f80000000093f8749				
Willem van der Vliet	/guid/9202a8c04000641f8000000009d8ee13		Baroque		
Jacob Marrel	/guid/9202a8c04000641f8000000009d8ef03		Baroque		
Pedro Nunez del Valle	/guid/9202a8c04000641f8000000009d8ee3d		Baroque		
Hieronymus Francken II	/guid/9202a8c04000641f8000000009d8ede9		Baroque		
Raoul Marek	/guid/9202a8c04000641f800000000aaca579		Conceptual art		
